# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
3127320104,0.244,226.127,978.196,4725.000,-4016.250,-2502.500,23.078,4,3707,16036,540,-459,-286,-492,0,0
3127329511,0.061,225.456,976.976,4760.000,-4016.250,-2485.000,23.086,1,3696,16016,544,-459,-284,-490,0,0
3127338918,-0.671,226.310,975.878,4733.750,-4042.500,-2458.750,23.086,-11,3710,15998,541,-462,-281,-490,0,0
3127348326,-1.159,225.700,977.830,4760.000,-3998.750,-2450.000,23.059,-19,3700,16030,544,-457,-280,-497,0,0
3127357739,-0.183,225.639,978.806,4733.750,-4016.250,-2476.250,23.059,-3,3699,16046,541,-459,-283,-497,0,0
3127367147,0.488,225.395,978.806,4768.750,-4016.250,-2458.750,23.082,8,3695,16046,545,-459,-281,-491,0,0
3127376554,1.098,224.846,978.623,4733.750,-4025.000,-2458.750,23.082,18,3686,16043,541,-460,-281,-491,0,0
3127385961,1.525,225.578,979.355,4725.000,-3955.000,-2467.500,23.070,25,3698,16055,540,-452,-282,-494,0,0
3127395376,2.562,225.456,979.294,4742.500,-3963.750,-2432.500,23.070,42,3696,16054,542,-453,-278,-494,0,0
3127404782,1.281,225.334,977.952,4760.000,-3998.750,-2441.250,23.082,21,3694,16032,544,-457,-279,-491,0,0
3127414189,0.854,223.931,977.586,4760.000,-3963.750,-2485.000,23.082,14,3671,16026,544,-453,-284,-491,0,0
3127423604,-0.915,225.334,978.074,4795.000,-4016.250,-2476.250,23.063,-15,3694,16034,548,-459,-283,-496,0,0
3127433009,-1.037,225.761,976.183,4777.500,-4033.750,-2502.500,23.063,-17,3701,16003,546,-461,-286,-496,0,0
3127442417,-1.281,225.395,976.488,4751.250,-3998.750,-2458.750,23.063,-21,3695,16008,543,-457,-281,-496,0,0
