# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
4138628173,0.610,223.565,979.782,4716.250,-3998.750,-2485.000,23.383,10,3665,16062,539,-457,-284,-414,0,0
4138637580,0.244,222.772,980.758,4733.750,-4025.000,-2493.750,23.383,4,3652,16078,541,-460,-285,-414,0,0
4138646988,-0.305,223.077,980.270,4690.000,-3955.000,-2476.250,23.422,-5,3657,16070,536,-452,-283,-404,0,0
4138656401,0.549,223.321,979.599,4742.500,-3998.750,-2458.750,23.422,9,3661,16059,542,-457,-281,-404,0,0
4138665807,1.342,221.979,978.745,4786.250,-4007.500,-2476.250,23.398,22,3639,16045,547,-458,-283,-410,0,0
4138675219,0.244,222.711,980.880,4821.250,-4033.750,-2467.500,23.398,4,3651,16080,551,-461,-282,-410,0,0
4138684625,0.671,223.809,979.965,4786.250,-3998.750,-2493.750,23.375,11,3669,16065,547,-457,-285,-416,0,0
4138694039,0.854,222.772,977.952,4725.000,-4016.250,-2458.750,23.375,14,3652,16032,540,-459,-281,-416,0,0
4138703445,0.305,223.382,979.111,4812.500,-4007.500,-2450.000,23.352,5,3662,16051,550,-458,-280,-422,0,0
4138712854,0.610,222.833,977.708,4751.250,-4016.250,-2493.750,23.352,10,3653,16028,543,-459,-285,-422,0,0
4138722267,0.183,223.992,979.477,4716.250,-4051.250,-2458.750,23.383,3,3672,16057,539,-463,-281,-414,0,0
4138731675,0.305,224.114,978.806,4742.500,-4051.250,-2467.500,23.383,5,3674,16046,542,-463,-282,-414,0,0
4138741082,-0.671,222.772,980.392,4698.750,-4033.750,-2485.000,23.371,-11,3652,16072,537,-461,-284,-417,0,0
4138750495,0.244,222.894,980.270,4716.250,-4007.500,-2450.000,23.371,4,3654,16070,539,-458,-280,-417,0,0
4138759901,0.366,223.199,980.270,4751.250,-4007.500,-2441.250,23.410,6,3659,16070,543,-458,-279,-407,0,0
4138769309,0.610,222.528,979.172,4725.000,-4016.250,-2467.500,23.410,10,3648,16052,540,-459,-282,-407,0,0
4138778723,0.854,223.931,979.233,4742.500,-3998.750,-2450.000,23.383,14,3671,16053,542,-457,-280,-414,0,0
4138788131,0.488,223.138,979.111,4733.750,-3998.750,-2467.500,23.383,8,3658,16051,541,-457,-282,-414,0,0
4138797537,1.464,223.565,980.392,4751.250,-3990.000,-2441.250,23.379,24,3665,16072,543,-456,-279,-415,0,0
4138806945,-0.061,223.138,978.928,4733.750,-4007.500,-2432.500,23.379,-1,3658,16048,541,-458,-278,-415,0,0
4138816359,0.427,222.955,979.050,4795.000,-4016.250,-2467.500,23.391,7,3655,16050,548,-459,-282,-412,0,0
4138825764,0.549,223.504,979.050,4786.250,-4007.500,-2476.250,23.391,9,3664,16050,547,-458,-283,-412,0,0
4138835172,0.244,223.504,979.782,4786.250,-4007.500,-2467.500,23.375,4,3664,16062,547,-458,-282,-416,0,0
4138844587,1.037,224.541,978.684,4742.500,-4025.000,-2450.000,23.375,17,3681,16044,542,-460,-280,-416,0,0
4138853995,0.427,223.992,978.074,4742.500,-3981.250,-2441.250,23.398,7,3672,16034,542,-455,-279,-410,0,0
4138863402,0.183,222.650,978.684,4733.750,-4016.250,-2458.750,23.398,3,3650,16044,541,-459,-281,-410,0,0
4138872809,0.427,222.894,979.477,4742.500,-3981.250,-2458.750,23.379,7,3654,16057,542,-455,-281,-415,0,0
4138882223,1.220,223.260,979.355,4716.250,-4007.500,-2467.500,23.379,20,3660,16055,539,-458,-282,-415,0,0
4138891628,0.244,223.565,979.233,4725.000,-4007.500,-2493.750,23.387,4,3665,16053,540,-458,-285,-413,0,0
4138901042,1.586,223.626,979.355,4733.750,-3990.000,-2476.250,23.387,26,3666,16055,541,-456,-283,-413,0,0
4138910450,-0.366,222.955,979.233,4698.750,-3990.000,-2458.750,23.375,-6,3655,16053,537,-456,-281,-416,0,0
4138919855,0.427,223.626,979.111,4725.000,-4025.000,-2458.750,23.375,7,3666,16051,540,-460,-281,-416,0,0
4138929268,-0.610,223.443,978.318,4690.000,-4007.500,-2441.250,23.375,-10,3663,16038,536,-458,-279,-416,0,0
4138938675,-0.122,224.053,980.514,4733.750,-4016.250,-2467.500,23.375,-2,3673,16074,541,-459,-282,-416,0,0
4138948089,-0.549,223.199,979.721,4768.750,-4016.250,-2485.000,23.379,-9,3659,16061,545,-459,-284,-415,0,0
4138957494,-0.854,223.443,978.196,4698.750,-3955.000,-2458.750,23.379,-14,3663,16036,537,-452,-281,-415,0,0
4138966907,0.793,222.833,978.806,4707.500,-3963.750,-2493.750,23.340,13,3653,16046,538,-453,-285,-425,0,0
4138976314,0.732,222.894,980.270,4742.500,-4016.250,-2467.500,23.340,12,3654,16070,542,-459,-282,-425,0,0
4138985721,0.366,223.687,980.087,4690.000,-4033.750,-2467.500,23.395,6,3667,16067,536,-461,-282,-411,0,0
4138995135,1.098,223.748,981.002,4768.750,-4077.500,-2502.500,23.395,18,3668,16082,545,-466,-286,-411,0,0
4139004543,1.769,223.138,977.342,4733.750,-4033.750,-2511.250,23.363,29,3658,16022,541,-461,-287,-419,0,0
4139013947,0.610,223.016,978.013,4707.500,-4016.250,-2476.250,23.363,10,3656,16033,538,-459,-283,-419,0,0
4139023362,-0.244,223.321,978.867,4760.000,-4042.500,-2441.250,23.383,-4,3661,16047,544,-462,-279,-414,0,0
