# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
3337679913,2.623,222.040,979.843,4742.500,-4007.500,-2458.750,23.129,43,3640,16063,542,-458,-281,-479,0,0
3337689318,2.684,223.443,981.795,4768.750,-4007.500,-2441.250,23.129,44,3663,16095,545,-458,-279,-479,0,0
3337698726,1.464,223.626,979.172,4725.000,-4016.250,-2441.250,23.125,24,3666,16052,540,-459,-279,-480,0,0
3337708140,3.660,222.833,979.355,4742.500,-4068.750,-2441.250,23.125,60,3653,16055,542,-465,-279,-480,0,0
3337717547,2.440,223.565,979.355,4751.250,-4025.000,-2467.500,23.137,40,3665,16055,543,-460,-282,-477,0,0
3337726955,2.501,223.687,980.636,4760.000,-4051.250,-2450.000,23.137,41,3667,16076,544,-463,-280,-477,0,0
3337736361,2.501,223.321,980.453,4751.250,-4025.000,-2467.500,23.137,41,3661,16073,543,-460,-282,-477,0,0
3337745775,2.440,222.528,979.477,4733.750,-3981.250,-2432.500,23.137,40,3648,16057,541,-455,-278,-477,0,0
3337755183,2.562,222.650,980.148,4768.750,-3998.750,-2432.500,23.090,42,3650,16068,545,-457,-278,-489,0,0
3337764589,3.294,223.443,980.697,4725.000,-4025.000,-2493.750,23.090,54,3663,16077,540,-460,-285,-489,0,0
3337774001,2.867,224.114,981.490,4725.000,-4042.500,-2476.250,23.098,47,3674,16090,540,-462,-283,-487,0,0
3337783409,2.318,222.345,979.050,4751.250,-4016.250,-2493.750,23.098,38,3645,16050,543,-459,-285,-487,0,0
3337792821,2.379,222.406,979.172,4716.250,-4042.500,-2450.000,23.129,39,3646,16052,539,-462,-280,-479,0,0
3337802228,3.172,223.016,979.416,4742.500,-3998.750,-2450.000,23.129,52,3656,16056,542,-457,-280,-479,0,0
3337811635,2.501,224.602,980.697,4760.000,-4042.500,-2467.500,23.125,41,3682,16077,544,-462,-282,-480,0,0
3337821048,1.952,223.687,980.026,4725.000,-3998.750,-2485.000,23.125,32,3667,16066,540,-457,-284,-480,0,0
3337830454,1.891,222.955,979.599,4698.750,-4025.000,-2467.500,23.105,31,3655,16059,537,-460,-282,-485,0,0
3337839862,3.050,221.796,979.538,4742.500,-4068.750,-2476.250,23.105,50,3636,16058,542,-465,-283,-485,0,0
3337849275,2.684,223.077,979.538,4725.000,-4025.000,-2476.250,23.141,44,3657,16058,540,-460,-283,-476,0,0
3337858681,2.196,223.626,980.087,4742.500,-3998.750,-2458.750,23.141,36,3666,16067,542,-457,-281,-476,0,0
3337868096,2.257,222.223,981.307,4733.750,-4051.250,-2450.000,23.102,37,3643,16087,541,-463,-280,-486,0,0
3337877502,2.989,222.467,981.551,4768.750,-4051.250,-2423.750,23.102,49,3647,16091,545,-463,-277,-486,0,0
3337886908,2.806,223.626,980.270,4803.750,-4042.500,-2441.250,23.105,46,3666,16070,549,-462,-279,-485,0,0
3337896324,2.684,223.382,980.026,4777.500,-4051.250,-2476.250,23.105,44,3662,16066,546,-463,-283,-485,0,0
3337905731,1.708,222.894,980.331,4751.250,-4033.750,-2441.250,23.113,28,3654,16071,543,-461,-279,-483,0,0
3337915139,3.233,223.138,980.697,4733.750,-4025.000,-2441.250,23.113,53,3658,16077,541,-460,-279,-483,0,0
3337924545,1.769,223.077,980.331,4742.500,-4042.500,-2432.500,23.117,29,3657,16071,542,-462,-278,-482,0,0
3337933958,1.952,223.504,980.331,4690.000,-4025.000,-2467.500,23.117,32,3664,16071,536,-460,-282,-482,0,0
3337943366,2.440,223.199,979.965,4733.750,-4033.750,-2476.250,23.129,40,3659,16065,541,-461,-283,-479,0,0
3337952772,2.074,222.589,980.209,4725.000,-4033.750,-2458.750,23.129,34,3649,16069,540,-461,-281,-479,0,0
3337962186,2.074,222.772,980.941,4768.750,-4007.500,-2467.500,23.086,34,3652,16081,545,-458,-282,-490,0,0
3337971593,2.989,222.650,980.392,4733.750,-3981.250,-2467.500,23.086,49,3650,16072,541,-455,-282,-490,0,0
3337981000,2.623,222.589,980.331,4760.000,-4016.250,-2450.000,23.121,43,3649,16071,544,-459,-280,-481,0,0
3337990409,2.684,222.589,980.392,4760.000,-4033.750,-2458.750,23.121,44,3649,16072,544,-461,-281,-481,0,0
3337999822,2.074,223.077,980.392,4751.250,-3990.000,-2502.500,23.117,34,3657,16072,543,-456,-286,-482,0,0
3338009228,2.135,222.772,979.599,4751.250,-4051.250,-2450.000,23.117,35,3652,16059,543,-463,-280,-482,0,0
3338018636,2.257,223.565,979.416,4803.750,-3990.000,-2423.750,23.090,37,3665,16056,549,-456,-277,-489,0,0
3338028051,2.867,224.175,979.538,4751.250,-3998.750,-2450.000,23.090,47,3675,16058,543,-457,-280,-489,0,0
3338037459,3.050,223.687,980.392,4786.250,-4007.500,-2450.000,23.152,50,3667,16072,547,-458,-280,-473,0,0
