# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
8840209675,6.283,134.749,996.923,4733.750,-4033.750,-2450.000,23.785,103,2209,16343,541,-461,-280,-311,0,0
8840219082,6.100,136.396,996.313,4760.000,-4007.500,-2458.750,23.785,100,2236,16333,544,-458,-281,-311,0,0
8840228490,6.832,135.359,997.533,4620.000,-4016.250,-2458.750,23.781,112,2219,16353,528,-459,-281,-312,0,0
8840237905,6.222,135.481,998.509,4672.500,-3990.000,-2458.750,23.781,102,2221,16369,534,-456,-281,-312,0,0
8840247313,5.246,134.383,996.557,4742.500,-4007.500,-2467.500,23.816,86,2203,16337,542,-458,-282,-303,0,0
8840256719,6.466,132.675,996.130,4707.500,-3955.000,-2485.000,23.816,106,2175,16330,538,-452,-284,-303,0,0
8840266133,6.893,133.590,996.435,4646.250,-3998.750,-2502.500,23.789,113,2190,16335,531,-457,-286,-310,0,0
8840275540,5.917,133.529,996.984,4663.750,-4033.750,-2485.000,23.789,97,2189,16344,533,-461,-284,-310,0,0
8840284946,5.185,133.224,997.228,4707.500,-4051.250,-2467.500,23.777,85,2184,16348,538,-463,-282,-313,0,0
8840294360,5.673,133.773,996.984,4716.250,-4077.500,-2432.500,23.777,93,2193,16344,539,-466,-278,-313,0,0
8840303768,5.795,134.200,996.740,4681.250,-4025.000,-2467.500,23.773,95,2200,16340,535,-460,-282,-314,0,0
8840313175,6.344,135.054,996.557,4690.000,-4016.250,-2450.000,23.773,104,2214,16337,536,-459,-280,-314,0,0
8840322583,6.283,134.627,996.984,4733.750,-4025.000,-2450.000,23.770,103,2207,16344,541,-460,-280,-315,0,0
8840331997,6.832,134.871,997.533,4725.000,-3981.250,-2441.250,23.770,112,2211,16353,540,-455,-279,-315,0,0
8840341405,6.100,134.871,998.753,4725.000,-3990.000,-2467.500,23.789,100,2211,16373,540,-456,-282,-310,0,0
8840350811,6.100,134.749,997.228,4725.000,-4007.500,-2502.500,23.789,100,2209,16348,540,-458,-286,-310,0,0
8840360226,5.856,133.346,997.472,4646.250,-4042.500,-2458.750,23.738,96,2186,16352,531,-462,-281,-323,0,0
8840369632,4.880,133.712,996.740,4637.500,-4051.250,-2476.250,23.738,80,2192,16340,530,-463,-283,-323,0,0
8840379045,5.856,134.139,997.960,4777.500,-4060.000,-2476.250,23.777,96,2199,16360,546,-464,-283,-313,0,0
8840388450,5.734,134.261,996.984,4751.250,-4016.250,-2485.000,23.777,94,2201,16344,543,-459,-284,-313,0,0
8840397863,5.795,133.712,996.557,4663.750,-4016.250,-2493.750,23.809,95,2192,16337,533,-459,-285,-305,0,0
8840407269,4.575,134.566,997.106,4681.250,-3963.750,-2458.750,23.809,75,2206,16346,535,-453,-281,-305,0,0
8840416683,7.198,134.871,996.069,4733.750,-4033.750,-2441.250,23.789,118,2211,16329,541,-461,-279,-310,0,0
8840426090,6.832,133.834,997.045,4637.500,-4042.500,-2441.250,23.789,112,2194,16345,530,-462,-279,-310,0,0
8840435497,6.283,134.200,997.045,4672.500,-4016.250,-2450.000,23.742,103,2200,16345,534,-459,-280,-322,0,0
8840444911,6.161,134.932,997.533,4698.750,-4007.500,-2441.250,23.742,101,2212,16353,537,-458,-279,-322,0,0
8840454318,6.344,134.932,996.130,4698.750,-3981.250,-2432.500,23.773,104,2212,16330,537,-455,-278,-314,0,0
8840463726,5.673,133.346,996.496,4672.500,-3972.500,-2485.000,23.773,93,2186,16336,534,-454,-284,-314,0,0
8840473133,5.551,133.712,995.154,4707.500,-4016.250,-2450.000,23.785,91,2192,16314,538,-459,-280,-311,0,0
8840482548,5.917,133.163,997.960,4620.000,-3990.000,-2502.500,23.785,97,2183,16360,528,-456,-286,-311,0,0
8840491953,6.466,134.078,996.862,4698.750,-4060.000,-2520.000,23.758,106,2198,16342,537,-464,-288,-318,0,0
8840501361,6.588,134.871,996.679,4742.500,-4007.500,-2467.500,23.758,108,2211,16339,542,-458,-282,-318,0,0
8840510775,5.734,134.871,997.472,4690.000,-3990.000,-2423.750,23.789,94,2211,16352,536,-456,-277,-310,0,0
8840520182,6.771,134.871,998.082,4655.000,-4007.500,-2441.250,23.789,111,2211,16362,532,-458,-279,-310,0,0
8840529590,5.307,134.017,997.472,4707.500,-3990.000,-2432.500,23.758,87,2197,16352,538,-456,-278,-318,0,0
8840539003,7.137,133.895,996.801,4733.750,-4016.250,-2441.250,23.758,117,2195,16341,541,-459,-279,-318,0,0
8840548410,6.527,133.346,997.960,4742.500,-4025.000,-2467.500,23.793,107,2186,16360,542,-460,-282,-309,0,0
8840557818,6.649,134.200,996.862,4742.500,-3972.500,-2458.750,23.793,109,2200,16342,542,-454,-281,-309,0,0
8840567230,5.917,133.712,998.692,4707.500,-3955.000,-2476.250,23.766,97,2192,16372,538,-452,-283,-316,0,0
8840576638,5.978,134.383,997.777,4698.750,-4016.250,-2485.000,23.766,98,2203,16357,537,-459,-284,-316,0,0
