# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
10026024835,876.631,366.915,361.425,280.000,560.000,-3955.000,23.059,14371,6015,5925,32,64,-452,-497,0,0
10026024981,876.509,367.830,358.619,280.000,560.000,-3955.000,23.059,14369,6030,5879,32,64,-452,-497,0,0
10026025129,879.376,363.194,358.375,280.000,560.000,-3955.000,23.059,14416,5954,5875,32,64,-452,-497,0,0
10026025275,878.400,361.669,352.763,280.000,560.000,-3955.000,23.059,14400,5929,5783,32,64,-452,-497,0,0
10026025423,869.677,363.194,352.763,280.000,560.000,-3955.000,23.059,14257,5954,5783,32,64,-452,-497,0,0
10026025569,873.398,367.037,356.911,280.000,560.000,-3955.000,23.059,14318,6017,5851,32,64,-452,-497,0,0
10026025717,875.106,367.952,354.776,280.000,560.000,-3955.000,23.059,14346,6032,5816,32,64,-452,-497,0,0
10026025864,870.104,361.730,353.739,280.000,560.000,-3955.000,23.059,14264,5930,5799,32,64,-452,-497,0,0
10026026011,872.483,360.571,355.630,498.750,918.750,-4690.000,23.059,14303,5911,5830,57,105,-536,-497,0,0
10026026159,871.995,366.854,352.580,498.750,918.750,-4690.000,23.059,14295,6014,5780,57,105,-536,-497,0,0
10026026306,869.738,365.695,361.120,498.750,918.750,-4690.000,23.059,14258,5995,5920,57,105,-536,-497,0,0
10026026454,874.008,365.939,363.987,498.750,918.750,-4690.000,23.059,14328,5999,5967,57,105,-536,-497,0,0
10026026601,873.398,368.440,352.458,498.750,918.750,-4690.000,23.059,14318,6040,5778,57,105,-536,-497,0,0
10026026748,873.886,363.743,352.946,498.750,918.750,-4690.000,23.059,14326,5963,5786,57,105,-536,-497,0,0
10026026896,872.422,361.913,359.656,498.750,918.750,-4690.000,23.059,14302,5933,5896,57,105,-536,-497,0,0
