# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
7986844310,4.392,164.944,992.958,4628.750,-4016.250,-2476.250,23.707,72,2704,16278,529,-459,-283,-331,0,0
7986853722,4.392,164.151,992.653,4751.250,-4033.750,-2467.500,23.727,72,2691,16273,543,-461,-282,-326,0,0
7986863129,4.209,164.578,992.836,4742.500,-4007.500,-2493.750,23.727,69,2698,16276,542,-458,-285,-326,0,0
7986872537,4.453,164.334,991.982,4716.250,-4060.000,-2476.250,23.699,73,2694,16262,539,-464,-283,-333,0,0
7986881950,6.039,163.968,992.592,4760.000,-4051.250,-2441.250,23.699,99,2688,16272,544,-463,-279,-333,0,0
7986891356,5.185,164.334,992.287,4768.750,-4007.500,-2423.750,23.691,85,2694,16267,545,-458,-277,-335,0,0
7986900764,4.941,163.907,991.921,4768.750,-4025.000,-2432.500,23.691,81,2687,16261,545,-460,-278,-335,0,0
7986910178,4.819,164.334,992.897,4725.000,-3981.250,-2458.750,23.730,79,2694,16277,540,-455,-281,-325,0,0
7986919586,3.904,163.175,992.958,4742.500,-3972.500,-2450.000,23.730,64,2675,16278,542,-454,-280,-325,0,0
7986928992,5.612,165.371,993.690,4628.750,-3998.750,-2458.750,23.738,92,2711,16290,529,-457,-281,-323,0,0
7986938407,4.087,165.066,993.141,4576.250,-3963.750,-2450.000,23.738,67,2706,16281,523,-453,-280,-323,0,0
7986947813,5.307,164.639,992.836,4725.000,-4025.000,-2458.750,23.730,87,2699,16276,540,-460,-281,-325,0,0
7986957226,4.514,165.371,992.897,4768.750,-3972.500,-2485.000,23.730,74,2711,16277,545,-454,-284,-325,0,0
