# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
6565783624,-1.769,219.905,980.209,4716.250,-3998.750,-2485.000,22.699,-29,3605,16069,539,-457,-284,-589,0,0
6565793035,-1.220,221.186,980.880,4725.000,-4016.250,-2476.250,22.703,-20,3626,16080,540,-459,-283,-588,0,0
6565802439,-0.915,219.356,979.416,4760.000,-4051.250,-2511.250,22.703,-15,3596,16056,544,-463,-287,-588,0,0
6565811852,-1.098,220.088,980.514,4786.250,-4033.750,-2502.500,22.730,-18,3608,16074,547,-461,-286,-581,0,0
6565821262,-0.671,220.332,980.453,4777.500,-4042.500,-2458.750,22.730,-11,3612,16073,546,-462,-281,-581,0,0
6565830666,-1.464,219.905,979.416,4777.500,-4025.000,-2458.750,22.680,-24,3605,16056,546,-460,-281,-594,0,0
6565840078,-1.525,219.844,980.575,4751.250,-4025.000,-2476.250,22.680,-25,3604,16075,543,-460,-283,-594,0,0
6565849489,-1.098,220.759,979.355,4698.750,-4068.750,-2485.000,22.727,-18,3619,16055,537,-465,-284,-582,0,0
6565858893,-0.305,219.722,980.941,4751.250,-4007.500,-2450.000,22.727,-5,3602,16081,543,-458,-280,-582,0,0
6565868305,-0.915,220.149,979.721,4768.750,-3981.250,-2485.000,22.707,-15,3609,16061,545,-455,-284,-587,0,0
6565877717,-1.281,219.783,978.562,4760.000,-3998.750,-2450.000,22.707,-21,3603,16042,544,-457,-280,-587,0,0
6565887125,-1.464,221.857,977.830,4795.000,-4042.500,-2476.250,22.715,-24,3637,16030,548,-462,-283,-585,0,0
6565896531,-1.708,221.979,979.843,4760.000,-4007.500,-2476.250,22.715,-28,3639,16063,544,-458,-283,-585,0,0
6565905943,-1.098,221.125,979.416,4716.250,-3972.500,-2467.500,22.703,-18,3625,16056,539,-454,-282,-588,0,0
6565915347,-0.854,220.454,979.599,4707.500,-4042.500,-2458.750,22.703,-14,3614,16059,538,-462,-281,-588,0,0
6565924760,-1.159,219.478,979.416,4733.750,-4042.500,-2485.000,22.691,-19,3598,16056,541,-462,-284,-591,0,0
6565934167,-1.159,220.393,979.843,4707.500,-4068.750,-2502.500,22.691,-19,3613,16063,538,-465,-286,-591,0,0
6565943574,-1.647,220.515,978.928,4751.250,-4051.250,-2485.000,22.699,-27,3615,16048,543,-463,-284,-589,0,0
6565952986,-0.976,220.271,979.660,4803.750,-4033.750,-2485.000,22.699,-16,3611,16060,549,-461,-284,-589,0,0
6565962397,-1.769,220.942,979.965,4751.250,-4025.000,-2502.500,22.688,-29,3622,16065,543,-460,-286,-592,0,0
6565971802,-1.952,219.661,979.294,4725.000,-4016.250,-2485.000,22.688,-32,3601,16054,540,-459,-284,-592,0,0
6565981211,-1.586,219.722,978.013,4707.500,-4025.000,-2485.000,22.727,-26,3602,16033,538,-460,-284,-582,0,0
6565990624,-0.976,220.149,978.623,4733.750,-4025.000,-2458.750,22.727,-16,3609,16043,541,-460,-281,-582,0,0
6566000029,-1.342,220.027,979.111,4795.000,-4051.250,-2485.000,22.754,-22,3607,16051,548,-463,-284,-575,0,0
6566009440,-1.220,220.027,979.294,4742.500,-4042.500,-2467.500,22.754,-20,3607,16054,542,-462,-282,-575,0,0
6566018851,-0.793,219.966,978.501,4742.500,-4042.500,-2450.000,22.699,-13,3606,16041,542,-462,-280,-589,0,0
6566028255,-0.793,220.271,978.806,4760.000,-4025.000,-2493.750,22.699,-13,3611,16046,544,-460,-285,-589,0,0
6566037667,-0.915,220.271,977.708,4786.250,-4042.500,-2493.750,22.688,-15,3611,16028,547,-462,-285,-592,0,0
