# STEVAL-MKI229A (LSM6DSO16IS) 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],temp[C],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],temp[LSB],int_1,int_2
6763788388,853.268,381.860,400.892,2791.250,-1837.500,-3185.000,23.195,13988,6260,6572,319,-210,-364,-462,0,0
6763797801,848.998,379.725,412.482,3088.750,-2047.500,-3281.250,23.121,13918,6225,6762,353,-234,-375,-481,0,0
6763807206,844.423,377.834,415.288,4060.000,-2992.500,-3290.000,23.121,13843,6194,6808,464,-342,-376,-481,0,0
6763816618,843.813,381.616,409.188,5153.750,-3981.250,-3263.750,23.125,13833,6256,6708,589,-455,-373,-480,0,0
6763826024,846.985,387.411,402.295,5643.750,-4506.250,-3176.250,23.125,13885,6351,6595,645,-515,-363,-480,0,0
6763835438,842.776,390.400,399.550,5652.500,-4550.000,-2992.500,23.117,13816,6400,6550,646,-520,-342,-482,0,0
6763844844,841.068,391.437,399.184,5495.000,-4751.250,-2835.000,23.117,13788,6417,6544,628,-543,-324,-482,0,0
6763854256,842.288,389.180,396.683,5705.000,-4882.500,-2397.500,23.160,13808,6380,6503,652,-558,-274,-471,0,0
6763863660,845.338,389.363,393.816,5993.750,-4926.250,-2030.000,23.160,13858,6383,6456,685,-563,-232,-471,0,0
6763873076,847.290,387.838,393.206,6002.500,-5057.500,-1995.000,23.145,13890,6358,6446,686,-578,-228,-475,0,0
6763882482,851.194,390.827,392.108,6020.000,-5250.000,-2030.000,23.145,13954,6407,6428,688,-600,-232,-475,0,0
6763891888,856.379,388.875,389.058,5880.000,-5250.000,-1968.750,23.125,14039,6375,6378,672,-600,-225,-480,0,0
6763901297,858.148,383.751,384.422,5897.500,-4900.000,-2135.000,23.125,14068,6291,6302,674,-560,-244,-480,0,0
6763910710,852.048,387.777,383.568,5346.250,-4375.000,-2668.750,23.133,13968,6357,6288,611,-500,-305,-478,0,0
6763920116,848.266,396.500,387.167,4558.750,-3920.000,-2817.500,23.133,13906,6500,6347,521,-448,-322,-478,0,0
6763929524,849.547,390.644,388.936,4366.250,-3631.250,-2415.000,23.113,13927,6404,6376,499,-415,-276,-483,0,0
6763938936,845.399,382.775,389.424,4357.500,-3290.000,-2292.500,23.113,13859,6275,6384,498,-376,-262,-483,0,0
6763948342,842.044,387.472,395.402,4235.000,-3211.250,-2502.500,23.129,13804,6352,6482,484,-367,-286,-479,0,0
6763957758,847.900,391.803,401.258,4340.000,-3465.000,-2310.000,23.129,13900,6423,6578,496,-396,-264,-479,0,0
6763967164,853.024,382.592,401.319,4865.000,-3850.000,-1811.250,23.184,13984,6272,6579,556,-440,-207,-465,0,0
6763976570,851.560,376.736,398.391,5346.250,-3911.250,-2056.250,23.184,13960,6176,6531,611,-447,-235,-465,0,0
6763985985,847.656,386.008,399.367,5608.750,-4016.250,-2458.750,23.176,13896,6328,6547,641,-459,-281,-467,0,0
6763995390,849.730,389.851,395.707,5950.000,-4340.000,-2100.000,23.176,13930,6391,6487,680,-496,-240,-467,0,0
6764004797,855.403,381.860,388.326,6177.500,-4646.250,-1688.750,23.168,14023,6260,6366,706,-531,-193,-469,0,0
6764014212,856.989,380.396,381.128,5792.500,-4558.750,-1960.000,23.168,14049,6236,6248,662,-521,-224,-469,0,0
6764023618,859.490,388.448,380.335,4952.500,-4357.500,-2450.000,23.168,14090,6368,6235,566,-498,-280,-469,0,0
